mini_game,category,skill_id,skill_name,current_level,buy_to_level,max_level,cost_resource,cost_amount,value_after_purchase,delta,notes
Book Level,blackjack,blackjack.bookLevel,blackjack book level,34,35,uncapped,Mana + unique resource,38192320 Mana + 59998 book resource,book level 35,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,blackjack,blackjack.bookLevel,blackjack book level,35,36,uncapped,Mana + unique resource,59198095 Mana + 80997 book resource,book level 36,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,blackjack,blackjack.bookLevel,blackjack book level,36,37,uncapped,Mana + unique resource,91757048 Mana + 109346 book resource,book level 37,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,blackjack,blackjack.bookLevel,blackjack book level,37,38,uncapped,Mana + unique resource,142223424 Mana + 147617 book resource,book level 38,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,blackjack,blackjack.bookLevel,blackjack book level,38,39,uncapped,Mana + unique resource,220446307 Mana + 199283 book resource,book level 39,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,blackjack,blackjack.bookLevel,blackjack book level,39,40,uncapped,Mana + unique resource,341691776 Mana + 269032 book resource,book level 40,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,blackjack,blackjack.bookLevel,blackjack book level,40,41,uncapped,Mana + unique resource,529622253 Mana + 363194 book resource,book level 41,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,blackjack,blackjack.bookLevel,blackjack book level,41,42,uncapped,Mana + unique resource,820914492 Mana + 490311 book resource,book level 42,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,blackjack,blackjack.bookLevel,blackjack book level,42,43,uncapped,Mana + unique resource,1272417462 Mana + 661920 book resource,book level 43,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,blackjack,blackjack.bookLevel,blackjack book level,43,44,uncapped,Mana + unique resource,1972247067 Mana + 893593 book resource,book level 44,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,blackjack,blackjack.bookLevel,blackjack book level,44,45,uncapped,Mana + unique resource,3056982953 Mana + 1206350 book resource,book level 45,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,blackjack,blackjack.bookLevel,blackjack book level,45,46,uncapped,Mana + unique resource,4738323578 Mana + 1628572 book resource,book level 46,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,blackjack,blackjack.bookLevel,blackjack book level,46,47,uncapped,Mana + unique resource,7344401546 Mana + 2198573 book resource,book level 47,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,blackjack,blackjack.bookLevel,blackjack book level,47,48,uncapped,Mana + unique resource,11383822396 Mana + 2968073 book resource,book level 48,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,blackjack,blackjack.bookLevel,blackjack book level,48,49,uncapped,Mana + unique resource,17644924713 Mana + 4006899 book resource,book level 49,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,blackjack,blackjack.bookLevel,blackjack book level,49,50,uncapped,Mana + unique resource,27349633306 Mana + 5409313 book resource,book level 50,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,blackjack,blackjack.bookLevel,blackjack book level,50,51,uncapped,Mana + unique resource,42391931624 Mana + 7302573 book resource,book level 51,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,1,2,uncapped,Mana + unique resource,20 Mana + 3 book resource,book level 2,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,2,3,uncapped,Mana + unique resource,31 Mana + 4 book resource,book level 3,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,3,4,uncapped,Mana + unique resource,48 Mana + 5 book resource,book level 4,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,4,5,uncapped,Mana + unique resource,74 Mana + 7 book resource,book level 5,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,5,6,uncapped,Mana + unique resource,115 Mana + 10 book resource,book level 6,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,6,7,uncapped,Mana + unique resource,179 Mana + 13 book resource,book level 7,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,7,8,uncapped,Mana + unique resource,277 Mana + 18 book resource,book level 8,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,8,9,uncapped,Mana + unique resource,430 Mana + 25 book resource,book level 9,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,9,10,uncapped,Mana + unique resource,666 Mana + 33 book resource,book level 10,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,10,11,uncapped,Mana + unique resource,1033 Mana + 45 book resource,book level 11,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,11,12,uncapped,Mana + unique resource,1601 Mana + 60 book resource,book level 12,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,12,13,uncapped,Mana + unique resource,2481 Mana + 81 book resource,book level 13,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,13,14,uncapped,Mana + unique resource,3846 Mana + 110 book resource,book level 14,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,14,15,uncapped,Mana + unique resource,5961 Mana + 148 book resource,book level 15,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,15,16,uncapped,Mana + unique resource,9240 Mana + 200 book resource,book level 16,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,16,17,uncapped,Mana + unique resource,14322 Mana + 270 book resource,book level 17,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,17,18,uncapped,Mana + unique resource,22199 Mana + 365 book resource,book level 18,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,18,19,uncapped,Mana + unique resource,34409 Mana + 493 book resource,book level 19,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,19,20,uncapped,Mana + unique resource,53334 Mana + 665 book resource,book level 20,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,20,21,uncapped,Mana + unique resource,82667 Mana + 898 book resource,book level 21,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,21,22,uncapped,Mana + unique resource,128134 Mana + 1213 book resource,book level 22,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,22,23,uncapped,Mana + unique resource,198608 Mana + 1637 book resource,book level 23,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,23,24,uncapped,Mana + unique resource,307842 Mana + 2210 book resource,book level 24,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,24,25,uncapped,Mana + unique resource,477155 Mana + 2984 book resource,book level 25,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,25,26,uncapped,Mana + unique resource,739590 Mana + 4028 book resource,book level 26,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,26,27,uncapped,Mana + unique resource,1146364 Mana + 5438 book resource,book level 27,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,27,28,uncapped,Mana + unique resource,1776864 Mana + 7342 book resource,book level 28,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,28,29,uncapped,Mana + unique resource,2754139 Mana + 9911 book resource,book level 29,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,29,30,uncapped,Mana + unique resource,4268915 Mana + 13380 book resource,book level 30,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,30,31,uncapped,Mana + unique resource,6616819 Mana + 18063 book resource,book level 31,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,31,32,uncapped,Mana + unique resource,10256069 Mana + 24386 book resource,book level 32,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,32,33,uncapped,Mana + unique resource,15896907 Mana + 32921 book resource,book level 33,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,33,34,uncapped,Mana + unique resource,24640206 Mana + 44443 book resource,book level 34,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,34,35,uncapped,Mana + unique resource,38192320 Mana + 59998 book resource,book level 35,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,35,36,uncapped,Mana + unique resource,59198095 Mana + 80997 book resource,book level 36,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,36,37,uncapped,Mana + unique resource,91757048 Mana + 109346 book resource,book level 37,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,37,38,uncapped,Mana + unique resource,142223424 Mana + 147617 book resource,book level 38,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,38,39,uncapped,Mana + unique resource,220446307 Mana + 199283 book resource,book level 39,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,39,40,uncapped,Mana + unique resource,341691776 Mana + 269032 book resource,book level 40,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,40,41,uncapped,Mana + unique resource,529622253 Mana + 363194 book resource,book level 41,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,41,42,uncapped,Mana + unique resource,820914492 Mana + 490311 book resource,book level 42,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,42,43,uncapped,Mana + unique resource,1272417462 Mana + 661920 book resource,book level 43,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,43,44,uncapped,Mana + unique resource,1972247067 Mana + 893593 book resource,book level 44,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,44,45,uncapped,Mana + unique resource,3056982953 Mana + 1206350 book resource,book level 45,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,45,46,uncapped,Mana + unique resource,4738323578 Mana + 1628572 book resource,book level 46,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,46,47,uncapped,Mana + unique resource,7344401546 Mana + 2198573 book resource,book level 47,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,47,48,uncapped,Mana + unique resource,11383822396 Mana + 2968073 book resource,book level 48,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,48,49,uncapped,Mana + unique resource,17644924713 Mana + 4006899 book resource,book level 49,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,49,50,uncapped,Mana + unique resource,27349633306 Mana + 5409313 book resource,book level 50,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,hundred,hundred.bookLevel,hundred book level,50,51,uncapped,Mana + unique resource,42391931624 Mana + 7302573 book resource,book level 51,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,1,2,uncapped,Mana + unique resource,20 Mana + 3 book resource,book level 2,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,2,3,uncapped,Mana + unique resource,31 Mana + 4 book resource,book level 3,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,3,4,uncapped,Mana + unique resource,48 Mana + 5 book resource,book level 4,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,4,5,uncapped,Mana + unique resource,74 Mana + 7 book resource,book level 5,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,5,6,uncapped,Mana + unique resource,115 Mana + 10 book resource,book level 6,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,6,7,uncapped,Mana + unique resource,179 Mana + 13 book resource,book level 7,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,7,8,uncapped,Mana + unique resource,277 Mana + 18 book resource,book level 8,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,8,9,uncapped,Mana + unique resource,430 Mana + 25 book resource,book level 9,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,9,10,uncapped,Mana + unique resource,666 Mana + 33 book resource,book level 10,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,10,11,uncapped,Mana + unique resource,1033 Mana + 45 book resource,book level 11,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,11,12,uncapped,Mana + unique resource,1601 Mana + 60 book resource,book level 12,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,12,13,uncapped,Mana + unique resource,2481 Mana + 81 book resource,book level 13,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,13,14,uncapped,Mana + unique resource,3846 Mana + 110 book resource,book level 14,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,14,15,uncapped,Mana + unique resource,5961 Mana + 148 book resource,book level 15,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,15,16,uncapped,Mana + unique resource,9240 Mana + 200 book resource,book level 16,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,16,17,uncapped,Mana + unique resource,14322 Mana + 270 book resource,book level 17,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,17,18,uncapped,Mana + unique resource,22199 Mana + 365 book resource,book level 18,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,18,19,uncapped,Mana + unique resource,34409 Mana + 493 book resource,book level 19,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,19,20,uncapped,Mana + unique resource,53334 Mana + 665 book resource,book level 20,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,20,21,uncapped,Mana + unique resource,82667 Mana + 898 book resource,book level 21,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,21,22,uncapped,Mana + unique resource,128134 Mana + 1213 book resource,book level 22,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,22,23,uncapped,Mana + unique resource,198608 Mana + 1637 book resource,book level 23,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,23,24,uncapped,Mana + unique resource,307842 Mana + 2210 book resource,book level 24,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,24,25,uncapped,Mana + unique resource,477155 Mana + 2984 book resource,book level 25,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,25,26,uncapped,Mana + unique resource,739590 Mana + 4028 book resource,book level 26,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,26,27,uncapped,Mana + unique resource,1146364 Mana + 5438 book resource,book level 27,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,27,28,uncapped,Mana + unique resource,1776864 Mana + 7342 book resource,book level 28,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,28,29,uncapped,Mana + unique resource,2754139 Mana + 9911 book resource,book level 29,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,29,30,uncapped,Mana + unique resource,4268915 Mana + 13380 book resource,book level 30,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,30,31,uncapped,Mana + unique resource,6616819 Mana + 18063 book resource,book level 31,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,31,32,uncapped,Mana + unique resource,10256069 Mana + 24386 book resource,book level 32,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,32,33,uncapped,Mana + unique resource,15896907 Mana + 32921 book resource,book level 33,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,33,34,uncapped,Mana + unique resource,24640206 Mana + 44443 book resource,book level 34,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,34,35,uncapped,Mana + unique resource,38192320 Mana + 59998 book resource,book level 35,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,35,36,uncapped,Mana + unique resource,59198095 Mana + 80997 book resource,book level 36,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,36,37,uncapped,Mana + unique resource,91757048 Mana + 109346 book resource,book level 37,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,37,38,uncapped,Mana + unique resource,142223424 Mana + 147617 book resource,book level 38,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,38,39,uncapped,Mana + unique resource,220446307 Mana + 199283 book resource,book level 39,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,39,40,uncapped,Mana + unique resource,341691776 Mana + 269032 book resource,book level 40,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,40,41,uncapped,Mana + unique resource,529622253 Mana + 363194 book resource,book level 41,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,41,42,uncapped,Mana + unique resource,820914492 Mana + 490311 book resource,book level 42,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,42,43,uncapped,Mana + unique resource,1272417462 Mana + 661920 book resource,book level 43,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,43,44,uncapped,Mana + unique resource,1972247067 Mana + 893593 book resource,book level 44,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,44,45,uncapped,Mana + unique resource,3056982953 Mana + 1206350 book resource,book level 45,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,45,46,uncapped,Mana + unique resource,4738323578 Mana + 1628572 book resource,book level 46,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,46,47,uncapped,Mana + unique resource,7344401546 Mana + 2198573 book resource,book level 47,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,47,48,uncapped,Mana + unique resource,11383822396 Mana + 2968073 book resource,book level 48,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,48,49,uncapped,Mana + unique resource,17644924713 Mana + 4006899 book resource,book level 49,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,49,50,uncapped,Mana + unique resource,27349633306 Mana + 5409313 book resource,book level 50,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,targets,targets.bookLevel,targets book level,50,51,uncapped,Mana + unique resource,42391931624 Mana + 7302573 book resource,book level 51,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,1,2,uncapped,Mana + unique resource,20 Mana + 3 book resource,book level 2,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,2,3,uncapped,Mana + unique resource,31 Mana + 4 book resource,book level 3,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,3,4,uncapped,Mana + unique resource,48 Mana + 5 book resource,book level 4,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,4,5,uncapped,Mana + unique resource,74 Mana + 7 book resource,book level 5,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,5,6,uncapped,Mana + unique resource,115 Mana + 10 book resource,book level 6,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,6,7,uncapped,Mana + unique resource,179 Mana + 13 book resource,book level 7,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,7,8,uncapped,Mana + unique resource,277 Mana + 18 book resource,book level 8,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,8,9,uncapped,Mana + unique resource,430 Mana + 25 book resource,book level 9,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,9,10,uncapped,Mana + unique resource,666 Mana + 33 book resource,book level 10,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,10,11,uncapped,Mana + unique resource,1033 Mana + 45 book resource,book level 11,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,11,12,uncapped,Mana + unique resource,1601 Mana + 60 book resource,book level 12,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,12,13,uncapped,Mana + unique resource,2481 Mana + 81 book resource,book level 13,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,13,14,uncapped,Mana + unique resource,3846 Mana + 110 book resource,book level 14,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,14,15,uncapped,Mana + unique resource,5961 Mana + 148 book resource,book level 15,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,15,16,uncapped,Mana + unique resource,9240 Mana + 200 book resource,book level 16,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,16,17,uncapped,Mana + unique resource,14322 Mana + 270 book resource,book level 17,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,17,18,uncapped,Mana + unique resource,22199 Mana + 365 book resource,book level 18,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,18,19,uncapped,Mana + unique resource,34409 Mana + 493 book resource,book level 19,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,19,20,uncapped,Mana + unique resource,53334 Mana + 665 book resource,book level 20,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,20,21,uncapped,Mana + unique resource,82667 Mana + 898 book resource,book level 21,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,21,22,uncapped,Mana + unique resource,128134 Mana + 1213 book resource,book level 22,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,22,23,uncapped,Mana + unique resource,198608 Mana + 1637 book resource,book level 23,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,23,24,uncapped,Mana + unique resource,307842 Mana + 2210 book resource,book level 24,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,24,25,uncapped,Mana + unique resource,477155 Mana + 2984 book resource,book level 25,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,25,26,uncapped,Mana + unique resource,739590 Mana + 4028 book resource,book level 26,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,26,27,uncapped,Mana + unique resource,1146364 Mana + 5438 book resource,book level 27,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,27,28,uncapped,Mana + unique resource,1776864 Mana + 7342 book resource,book level 28,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,28,29,uncapped,Mana + unique resource,2754139 Mana + 9911 book resource,book level 29,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,29,30,uncapped,Mana + unique resource,4268915 Mana + 13380 book resource,book level 30,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,30,31,uncapped,Mana + unique resource,6616819 Mana + 18063 book resource,book level 31,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,31,32,uncapped,Mana + unique resource,10256069 Mana + 24386 book resource,book level 32,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,32,33,uncapped,Mana + unique resource,15896907 Mana + 32921 book resource,book level 33,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,33,34,uncapped,Mana + unique resource,24640206 Mana + 44443 book resource,book level 34,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,34,35,uncapped,Mana + unique resource,38192320 Mana + 59998 book resource,book level 35,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,35,36,uncapped,Mana + unique resource,59198095 Mana + 80997 book resource,book level 36,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,36,37,uncapped,Mana + unique resource,91757048 Mana + 109346 book resource,book level 37,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,37,38,uncapped,Mana + unique resource,142223424 Mana + 147617 book resource,book level 38,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,38,39,uncapped,Mana + unique resource,220446307 Mana + 199283 book resource,book level 39,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,39,40,uncapped,Mana + unique resource,341691776 Mana + 269032 book resource,book level 40,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,40,41,uncapped,Mana + unique resource,529622253 Mana + 363194 book resource,book level 41,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,41,42,uncapped,Mana + unique resource,820914492 Mana + 490311 book resource,book level 42,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,42,43,uncapped,Mana + unique resource,1272417462 Mana + 661920 book resource,book level 43,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mine,mine.bookLevel,mine book level,43,44,uncapped,Mana + unique resource,1972247067 Mana + 893593 book resource,book level 44,+1 book level,exported first 50 book levels; unique resource depends on book
